Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,143.5023,-131.726,0.0,top
C2,10n,C_0402_1005Metric,149.235502,-133.921,-90.0,top
C3,10u,C_0603_1608Metric,146.5757,-131.726,180.0,top
C4,10n,C_0402_1005Metric,141.5465,-134.901,180.0,top
C5,10n,C_0402_1005Metric,149.235502,-135.881,-90.0,top
C6,10u,C_0603_1608Metric,143.5023,-138.076,0.0,top
C7,10u,C_0603_1608Metric,146.5757,-138.076,180.0,top
C8,10u,C_0603_1608Metric,138.6365,-130.342,-90.0,top
C9,10u,C_0603_1608Metric,138.6365,-138.952,-90.0,top
C10,100n,C_0402_1005Metric,142.308,-120.904,0.0,top
C11,100n,C_0402_1005Metric,152.245,-121.024,0.0,top
C12,100n,C_0402_1005Metric,167.0455,-134.994,180.0,top
C13,3n9 C0G,C_0603_1608Metric,169.7405,-132.389,-90.0,top
C14,10n,C_0402_1005Metric,159.7355,-122.675,180.0,top
C15,100n,C_0402_1005Metric,158.9455,-124.453,90.0,top
C16,10n,C_0402_1005Metric,165.2955,-124.453,90.0,top
C17,10n,C_0402_1005Metric,167.0435,-123.825,0.0,top
C18,470p C0G,C_0402_1005Metric,141.605,-119.393,90.0,top
C19,470p C0G,C_0402_1005Metric,141.605,-122.655,-90.0,top
C20,470p C0G,C_0402_1005Metric,152.908,-122.655,-90.0,top
D1,D_Schottky_Small,D_SOD-323,145.288,-116.417,90.0,top
D2,D_Schottky_Small,D_SOD-323,147.32,-116.417,-90.0,top
D3,D_Schottky_Small,D_SOD-323,140.5305,-130.617,90.0,top
D4,D_Schottky_Small,D_SOD-323,140.5305,-138.677,90.0,top
J9,10 Pin IDC,IDC-Header_2x05_P2.54mm_Vertical_SMD,130.0105,-134.647,90.0,top
R1,32k4,R_0402_1005Metric,147.965502,-133.891,-90.0,top
R2,10k,R_0402_1005Metric,151.013502,-134.012,0.0,top
R3,10k,R_0402_1005Metric,151.013502,-135.401,180.0,top
R4,42k2,R_0402_1005Metric,147.965502,-135.911,-90.0,top
R5,1k2,R_0402_1005Metric,153.9725,-136.652,-90.0,top
R6,12k,R_0402_1005Metric,152.265,-119.754,180.0,top
R7,11k,R_0603_1608Metric,152.815,-118.357,180.0,top
R8,11k,R_0603_1608Metric,152.815,-116.579,180.0,top
R9,3k,R_0603_1608Metric,149.225,-116.537,90.0,top
R10,10k,R_0402_1005Metric,150.622,-117.087,90.0,top
R11,49k9,R_0402_1005Metric,170.688,-128.649,-90.0,top
R12,49k9,R_0402_1005Metric,169.545,-128.649,-90.0,top
R13,267k,R_0402_1005Metric,165.2955,-135.464,-90.0,top
R14,267r,R_0402_1005Metric,160.2155,-124.453,90.0,top
R15,499k,R_0402_1005Metric,164.0255,-124.433,90.0,top
R16,22k1,R_0402_1005Metric,164.5355,-120.777,180.0,top
R17,267k,R_0402_1005Metric,167.0735,-124.893,180.0,top
R18,15k,R_0402_1005Metric,146.177,-124.503,0.0,top
R19,10k,R_0402_1005Metric,148.336,-124.503,0.0,top
R20,3k,R_0603_1608Metric,140.208,-118.823,-90.0,top
R21,1k,R_0402_1005Metric,143.637,-117.087,90.0,top
R22,12k,R_0402_1005Metric,142.748,-119.373,90.0,top
R23,3k,R_0603_1608Metric,140.208,-123.225,90.0,top
R24,1k,R_0402_1005Metric,144.399,-124.963,-90.0,top
R25,12k,R_0402_1005Metric,142.748,-122.675,-90.0,top
R26,3k,R_0603_1608Metric,154.305,-123.225,90.0,top
R27,1k,R_0402_1005Metric,150.634,-124.503,0.0,top
R28,12k,R_0402_1005Metric,151.805,-122.675,-90.0,top
R29,100k,R_0402_1005Metric,155.067,-97.917,-90.0,top
R30,10k,R_0402_1005Metric,153.924,-97.917,-90.0,top
RV1,5k**,Potentiometer_Bourns_3224W_Vertical,163.8455,-139.573,270.0,top
RV2,5k**,Potentiometer_Bourns_3224W_Vertical,164.009846,-117.475,0.0,top
U1,TPS7A39,Texas_DSC0010J,145.0445,-134.901,270.0,top
U2,LM4040DBZ-2.5,SOT-23,156.6395,-138.11,180.0,top
U3,TL074,TSSOP-14_4.4x5mm_P0.65mm,147.2615,-121.024,270.0,top
